raw_gps_input_alt_m	raw_gps_input_fix_type	raw_gps_input_lat	raw_gps_input_lon	syn_outputs_optical_flow_gps_port_six_parameters_altitude_m	syn_outputs_optical_flow_gps_port_six_parameters_course_deg	syn_outputs_optical_flow_gps_port_six_parameters_fix_type	syn_outputs_optical_flow_gps_port_six_parameters_hdop	syn_outputs_optical_flow_gps_port_six_parameters_heading_deg	syn_outputs_optical_flow_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_optical_flow_gps_port_six_parameters_latitude	syn_outputs_optical_flow_gps_port_six_parameters_longitude	syn_outputs_optical_flow_gps_port_six_parameters_pdop	syn_outputs_optical_flow_gps_port_six_parameters_satellites	syn_outputs_optical_flow_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_optical_flow_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_altitude_m	syn_outputs_vo_gps_port_six_parameters_course_deg	syn_outputs_vo_gps_port_six_parameters_fix_type	syn_outputs_vo_gps_port_six_parameters_hdop	syn_outputs_vo_gps_port_six_parameters_heading_deg	syn_outputs_vo_gps_port_six_parameters_horizontal_accuracy_m	syn_outputs_vo_gps_port_six_parameters_latitude	syn_outputs_vo_gps_port_six_parameters_longitude	syn_outputs_vo_gps_port_six_parameters_pdop	syn_outputs_vo_gps_port_six_parameters_satellites	syn_outputs_vo_gps_port_six_parameters_speed_accuracy_mps	syn_outputs_vo_gps_port_six_parameters_timestamp	syn_outputs_vo_gps_port_six_parameters_ubx_message_hex	syn_outputs_vo_gps_port_six_parameters_vdop	syn_outputs_vo_gps_port_six_parameters_velocity_down_mps	syn_outputs_vo_gps_port_six_parameters_velocity_east_mps	syn_outputs_vo_gps_port_six_parameters_velocity_north_mps	syn_outputs_vo_gps_port_six_parameters_vertical_accuracy_m
932.4	3	12.88779367	77.6429895	958.1734463	190.7238096	3	0.7	190.7238096	0.5	12.88782483	77.64297135	0.7	20	1	2026-03-07T12:47:29.390236Z	961.0469487	128.0186792	3	1.3	190.7238096	0.5	12.88756652	77.64315006	1.3	10	0.5	1772887649		1.3	0	0.686438032	-0.53666465	0.1
932.4	3	12.88779367	77.6429895	958.2364463	190.7238096	3	0.7	190.7238096	0.5	12.88782946	77.64297016	0.7	20	1	2026-03-07T12:47:29.821509Z	961.0229176	140.7926546	3	1.3	190.7238096	0.5	12.88755848	77.64315678	1.3	10	0.5	1772887650		1.3	0	0.873054282	-1.070190159	0.1
932.4	3	12.88779367	77.64298967	958.1494463	190.7238096	3	0.7	190.7238096	0.5	12.88782741	77.64296964	0.7	20	1	2026-03-07T12:47:30.012036Z	961.0671896	140.2130992	3	1.3	190.7238096	0.5	12.88755086	77.64316329	1.3	10	0.5	1772887650		1.3	0	1.836931192	-2.205778536	0.1
932.4	3	12.88779367	77.64298967	958.2354463	190.7238096	3	0.7	190.7238096	0.5	12.88782526	77.64296909	0.7	20	1	2026-03-07T12:47:30.201591Z	961.2346656	143.706913	3	1.3	190.7238096	0.5	12.88754467	77.64316796	1.3	10	0.5	1772887650		1.3	0	1.260302167	-1.716127434	0.1
932.4	3	12.88779383	77.64298967	958.2024463	190.7238096	3	0.7	190.7238096	0.5	12.8878273	77.64296856	0.7	20	1	2026-03-07T12:47:30.404423Z	961.2311149	131.1586156	3	1.3	190.7238096	0.5	12.88753949	77.64317403	1.3	10	0.5	1772887650		1.3	0	1.661291435	-1.452232493	0.1
932.4	3	12.88779383	77.64298967	958.1664463	190.7238096	3	0.7	190.7238096	0.5	12.88782909	77.64296798	0.7	20	1	2026-03-07T12:47:30.599455Z	961.1015131	138.4190265	3	1.3	190.7238096	0.5	12.88753496	77.64317816	1.3	10	0.5	1772887651		1.3	0	1.107585779	-1.248338596	0.1
932.4	3	12.88779383	77.64298967	958.1744463	190.7238096	3	0.7	190.7238096	0.5	12.88782909	77.64296798	0.7	20	1	2026-03-07T12:47:30.801691Z	961.1161969	163.6710377	3	1.3	190.7238096	0.5	12.88753077	77.64317942	1.3	10	0.5	1772887651		1.3	0	0.354634413	-1.210483374	0.1
932.4	3	12.887794	77.64298967	958.1714463	190.7238096	3	0.7	190.7238096	0.5	12.88783146	77.64296737	0.7	20	1	2026-03-07T12:47:30.995108Z	961.1014018	151.544042	3	1.3	190.7238096	0.5	12.88752748	77.64318125	1.3	10	0.5	1772887651		1.3	0	0.505490756	-0.932707179	0.1
932.4	3	12.887794	77.64298967	958.1604463	190.7238096	3	0.7	190.7238096	0.5	12.88783146	77.64296737	0.7	20	1	2026-03-07T12:47:31.194252Z	961.1934603	145.2534394	3	1.3	190.7238096	0.5	12.88752509	77.64318295	1.3	10	0.5	1772887651		1.3	0	0.45837483	-0.660829284	0.1
932.4	3	12.887794	77.64298967	958.1824463	190.7238096	3	0.7	190.7238096	0.5	12.88783351	77.64296685	0.7	20	1	2026-03-07T12:47:31.400988Z	961.3256531	82.01352111	3	1.3	190.7238096	0.5	12.88752557	77.64318644	1.3	10	0.5	1772887651		1.3	0	0.953052622	0.133713467	0.1
